date,combined_nav,swarm_alpha,swarm_beta,swarm_gamma,swarm_delta,swarm_epsilon,ew_benchmark,btc_benchmark
2024-03-27,1631288.1087903602,1094705.23644901,154379.6257142066,68860.9297136007,216684.6768694314,96657.64004411153,858469.8544533714,1025817.6585147389
2024-03-28,1669489.6830542684,1106891.62403097,160510.9917429231,70158.88820144042,235129.66468276424,96798.51439617034,878522.611896296,1044864.4877151366
2024-03-29,1696241.1118120416,1126630.9926139037,169605.05274595265,72251.81035689946,230290.50721364463,97462.7488816411,900550.5841445011,1032279.0648366864
2024-03-30,1668542.619251135,1115778.0457571025,165197.2950906933,70489.86443332446,220764.48907220952,96312.92489780526,878543.8641320618,1028623.2782639827
2024-03-31,1704737.548159549,1128683.9439709948,176458.9366871456,71753.14647235168,230083.73468103775,97757.7863480193,906482.0441243364,1053559.19735794
2024-04-01,1650030.8141677512,1094295.7415840814,170967.24092875482,69428.75547003192,220448.80667171604,94890.26951316706,865716.6350156716,1029462.829540787
2024-04-02,1592697.6874683744,1056831.919407637,167890.4111104772,66330.42165422028,209676.6569420641,91968.27835397572,824508.5053180272,966616.1971462781
2024-04-03,1593878.8985953324,1068406.8375559165,160532.23381473907,66260.68783166126,207368.50161718117,91310.63777583446,815623.1446495756,974500.7213451449
2024-04-04,1636448.8400373536,1100027.021651516,166426.99223736048,68200.47560211974,209714.936423211,92079.41412314666,842105.7985807371,1011838.3682058603
2024-04-05,1623537.7318109283,1090377.7790860722,165373.96521294693,68223.26811944463,208235.02809390152,91327.69129856302,832562.3160229514,1001925.0630388223
2024-04-06,1643343.4869539773,1102043.6320505547,169737.09172204207,68734.64583336918,210995.06391164236,91833.053436369,850793.274151181,1017558.0708984375
2024-04-07,1648050.7144741272,1102734.7529157288,168670.6783191168,69059.54985139723,215023.12773901402,92562.60564887022,859962.9988503548,1024447.2145187788
2024-04-08,1684005.6155980953,1117335.663818605,169042.44582049627,71123.21241227222,232475.58440579474,94028.70914092739,906726.3924241738,1057956.2260145072
2024-04-09,1643946.1491946094,1097679.2674096539,168065.57945589078,68103.87179968375,218143.51541380555,91953.91511557564,868238.1103574121,1021145.6641225169
2024-04-10,1683806.2498308804,1132162.498440707,164272.66635858527,68281.25455599104,227954.48574137688,91135.34473422011,876191.3058680572,1042544.6446117624
2024-04-11,1671008.3787834654,1123644.4189415325,162419.60569242187,68577.93240659042,226415.66696196859,89950.7547809521,873595.245695531,1034757.1026625042
2024-04-12,1612321.9112161184,1098796.8802516623,151849.6384425747,62381.343179190735,214449.95360639025,84844.09573630034,780203.1285384417,992446.4183527798
2024-04-13,1537710.4185483921,1042568.4723748947,148469.3919747128,58955.939254785924,202907.2463332998,84809.3686106992,696872.4591401824,942608.446066424
2024-04-14,1557807.9811450897,1051657.633507292,151401.19853759694,58936.340784488406,211003.439705013,84809.3686106992,740761.4107111928,970925.2436906185
2024-04-15,1543437.6241966314,1040627.7153618652,149658.44787778865,58936.340784488406,209646.2999984149,84568.8201740741,723315.6881508311,936770.6454173035
2024-04-16,1529116.9565321817,1030681.3536049199,148359.8499199701,58936.340784488406,206580.02694979272,84559.38527301062,717692.6577622126,942466.5208230941
2024-04-17,1509390.2846859917,1017726.9692372284,146778.4753054107,58936.340784488406,201389.11408585325,84559.38527301062,695958.3843152762,905023.4108140831
2024-04-18,1535082.7212390583,1038945.0971915132,148135.46446946973,58936.340784488406,204506.43352057622,84559.38527301062,717596.3748873797,938048.8380050991
2024-04-19,1538758.938991222,1042327.516004247,147661.56430848673,58936.340784488406,205274.1326209891,84559.38527301062,723310.7616115328,942934.8164328949
2024-04-20,1562828.240885127,1059392.6811245533,151758.4744923856,58936.340784488406,208181.35921068903,84559.38527301062,759173.2626025354,959932.556662824
2024-04-21,1567063.865989302,1065879.5131403673,150260.5326790116,58705.76365306173,207658.6712438506,84559.38527301062,750837.0679754488,958931.2336858987
2024-04-22,1601095.902861701,1095838.9592850448,152316.98234874304,58691.47277372425,209689.10318117833,84559.38527301062,775105.7027481858,987156.1837542469
2024-04-23,1595468.1410499485,1094566.5852685883,150781.93158562042,58691.47277372425,206868.76614900495,84559.38527301062,764774.0616164054,980799.3174895816
2024-04-24,1578612.931392445,1084320.1788997434,147998.01793559437,58691.47277372425,203043.8765103725,84559.38527301062,739098.9783056485,949334.8372024427
2024-04-25,1583686.9947561433,1090290.2835353003,148167.74521072896,58691.47277372425,201978.10796337907,84559.38527301062,742547.3706829168,952359.748760588
2024-04-26,1567876.8554290808,1072568.6165409472,149751.9290568991,58691.47277372425,202305.4517844994,84559.38527301062,742930.2152416182,941631.4119217924
2024-04-27,1562924.4249855299,1070464.432221589,148085.31261936852,58582.62804171474,201232.66682984706,84559.38527301062,739602.2436896794,936666.2207463982
2024-04-28,1566842.0582892154,1073932.6920678543,147588.05015959567,59005.475525443566,201756.45526331107,84559.38527301062,736077.8574643559,932148.0940874936
2024-04-29,1564342.3950250014,1071384.1393298863,147066.14823643406,58337.38296393782,202995.3392217327,84559.38527301062,737217.659419717,942898.6428038023
