nav,nav_west,nav_east,cash_west,cash_east,pnl_pct,pos_NVDA,pos_QQQ,pos_IBIT,pos_XLE,pos_600519.SS,pos_601899.SS,pos_300750.SZ,date,risk_prob,action,event,scout_action_QQQ,scout_expl_QQQ,scout_action_XLE,scout_expl_XLE,scout_action_NVDA,scout_expl_NVDA,scout_action_601899.SS,scout_expl_601899.SS,scout_action_300750.SZ,scout_expl_300750.SZ,scout_action_600519.SS,scout_expl_600519.SS,veto_log
12722310.83,7553533.53,5168777.3,2473327.37,-3.19,0.0,33789.49353718535,4368.902628712171,0.0,43062.804042945296,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-05,47.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12783108.04,7675755.4,5107352.64,2571816.91,-3.19,0.0,31817.82646716272,4312.645256128342,0.0,43748.02428152792,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-08,47.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12808899.16,7679769.19,5129129.97,2569489.89,-3.19,0.0,31198.62162173518,4323.327301802839,0.0,44548.088079962276,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-09,47.4,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12816488.68,7712291.52,5104197.16,2613265.59,-3.19,0.0,30371.611875543476,4293.197339999603,0.0,44895.04708722152,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-10,48.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12832068.49,7734572.97,5097495.51,2638452.84,-3.19,0.0,29983.731421834396,4289.670246914886,0.0,44828.92157256464,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-11,48.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12859514.25,7751396.29,5108117.97,2656439.2,-3.19,0.0,29900.815577893358,4293.832570791031,0.0,44437.38821481504,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-12,48.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12821540.94,7751374.91,5070166.03,2684262.15,-3.19,0.0,29643.27681738491,4275.737614301978,0.0,44271.09856386126,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-15,48.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12875524.47,7759871.42,5115653.04,2680925.55,-3.19,0.0,28794.873489726528,4286.831603657637,0.0,45502.73227763977,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-16,48.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12647867.68,7726232.28,4921635.4,2735050.95,-3.19,0.0,28323.984502804225,4243.296312422694,0.0,45228.87244478905,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-17,48.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12773037.65,7777520.0,4995517.64,2743497.2,-3.19,0.0,27998.74010578426,4221.458544343508,0.0,45736.34622290505,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-18,49.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12919602.49,7883950.14,5035652.35,2788407.6,-3.19,0.0,27171.74769565737,4183.710151345881,0.0,46266.42000706335,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-19,49.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12884619.32,7897068.33,4987550.99,2815237.27,-3.19,0.0,26932.787538311404,4165.998324719924,0.0,46127.86205752592,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-22,49.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12839583.34,7913819.06,4925764.28,2857523.54,-3.19,0.0,26641.67309470568,4132.2073041904505,0.0,45843.072135313494,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-23,49.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
12960097.26,7987717.79,4972379.47,2890409.9,-3.19,0.0,26230.181574488048,4143.305040026625,0.0,45520.20143821586,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-24,49.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13105668.38,8035715.37,5069953.02,2881007.71,-3.19,0.0,26350.226549723506,4186.9214903181755,0.0,45100.80579296235,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-25,49.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13105557.7,8022817.3,5082740.41,2893227.36,-3.19,0.0,26388.42833880106,4196.832723900332,0.0,44626.09548122207,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-26,49.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13157296.82,8076119.09,5081177.73,2946610.88,-3.19,0.0,25800.964130808115,4153.1092247009565,0.0,44670.53314990531,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-29,50.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13093033.46,8090523.06,5002510.4,2989318.19,-3.19,0.0,25498.520771092728,4156.505852607802,0.0,44037.2962364277,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-30,49.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13013954.41,7991662.93,5022291.48,2923499.39,-3.19,0.0,25803.651347320065,4215.608366391705,0.0,44616.2534295762,856.9032411376027,251064.23542714407,5833.568957373432,2024-01-31,50.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13084400.22,8050544.16,5033856.06,2954035.67,-3.19,0.0,25447.25448625917,4183.9354350130225,0.0,44746.55809198186,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-01,50.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13144043.3,8162205.44,4981837.87,3016278.89,-3.19,0.0,24587.568724253593,4146.731210200873,0.0,45010.04056374218,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-02,49.3,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13306527.36,8233347.79,5073179.58,3003010.29,-3.19,0.0,23837.285857678056,4214.500472493977,0.0,45943.60025769468,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-05,49.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13361474.95,8209034.61,5152440.34,2949550.84,-3.19,0.0,24155.125759749277,4260.556905790682,0.0,46256.72281496582,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-06,49.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13478327.1,8276495.35,5201831.75,2984408.2,-3.19,0.0,23646.488785912632,4242.497346483415,0.0,46471.97253866874,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-07,51.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13563778.83,8287692.25,5276086.58,2953235.37,-3.19,0.0,23850.05108876672,4274.184538337406,0.0,46558.01254491544,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-08,50.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13612813.48,8336726.9,5276086.58,2991652.11,-3.19,0.0,23121.770383286836,4241.186901888255,0.0,47282.25586062885,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-09,51.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13628574.5,8352487.92,5276086.58,2996035.97,-3.19,0.0,23048.30361219144,4269.567217462197,0.0,46995.07604485114,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-12,50.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13578400.79,8302314.21,5276086.58,2978686.15,-3.19,0.0,22903.198384275296,4306.908248677865,0.0,47300.96557016406,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-13,51.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13637045.8,8360959.22,5276086.58,3019079.36,-3.19,0.0,22475.393393185775,4270.756945902096,0.0,47471.19463185842,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-14,51.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13666118.04,8390031.46,5276086.58,3032089.4,-3.19,0.0,22788.19086520609,4286.386159319141,0.0,46410.916850259106,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-15,50.3,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13647230.88,8371144.3,5276086.58,3040964.7,-3.19,0.0,22695.574123669605,4306.5315733460975,0.0,46142.427830956716,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-16,51.8,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13707978.55,8371118.24,5336860.32,3011049.11,-3.19,0.0,22832.94870563963,4333.987599144167,0.0,46347.639836417155,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-19,51.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13635240.55,8268092.5,5367148.05,2937511.87,-3.19,0.0,23572.22843536836,4365.910794058645,0.0,46565.619473206854,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-20,51.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13657622.87,8248660.66,5408962.21,2941040.98,-3.19,0.0,24051.437491270204,4375.227190808238,0.0,45580.70394062268,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-21,52.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
14027195.0,8571711.44,5455483.56,3146146.82,-3.19,0.0,20949.87527293927,4362.320027279155,0.0,46657.84999205844,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-22,52.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
